City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,Cocobeach,1.0002,9.5823,79.81,85,59,2.66,GA,1604350800
324,Ballina,-28.8667,153.5667,64.04,71,63,13.76,AU,1604350800
325,Hīt,33.6416,42.8251,78.15,32,100,6.49,IQ,1604350800
326,La Ronge,55.1001,-105.2842,41.85,83,94,5.57,CA,1604350800
327,Kattivākkam,13.2167,80.3167,81.41,84,13,5.68,IN,1604350800
328,Hambantota,6.1241,81.1185,79.36,82,85,7.76,LK,1604350800
329,Upernavik,72.7868,-56.1549,17.02,92,96,7.94,GL,1604350800
330,Cotonou,6.3654,2.4183,80.8,84,59,7.23,BJ,1604350800
331,Varhaug,58.6147,5.6457,50.18,86,71,17.49,NO,1604350800
332,Beyneu,45.3167,55.2,53.58,39,10,16.11,KZ,1604350800
333,Zimovniki,47.1483,42.4633,55.2,78,97,6.6,RU,1604350800
334,Pokhara,28.2333,83.9833,64.8,47,0,5.7,NP,1604350800
335,Horconcitos,8.4682,-81.8007,68.74,98,100,6.42,PA,1604350800
336,Albuquerque,35.0845,-106.6511,68.18,25,24,4.43,US,1604350800
337,Humberto de Campos,-2.5983,-43.4611,85.46,62,74,6.8,BR,1604350800
338,Kushmurun,52.4503,64.6311,31.19,96,11,3.89,KZ,1604350800
339,Hobyo,5.3505,48.5268,80.91,79,49,10.78,SO,1604350800
340,Ust'-Kulom,61.6864,53.6902,26.74,95,32,4.88,RU,1604350800
341,Paamiut,61.994,-49.6678,30.69,82,99,17.22,GL,1604350800
342,Novaya Igirma,57.1334,103.9112,27.18,95,100,9.93,RU,1604350800
343,Ilhabela,-23.7781,-45.3581,67.82,60,70,4.25,BR,1604350800
344,Cayenne,4.9333,-52.3333,78.64,91,59,14.32,GF,1604350800
345,Russell,32.3502,-85.1999,61.41,31,1,6.49,US,1604350800
346,Dudinka,69.4058,86.1778,13.71,95,96,6.49,RU,1604350800
347,Nioro,13.35,-15.75,86.56,36,62,6.06,GM,1604350800
348,Vaitape,-16.5167,-151.75,80.46,77,2,15.55,PF,1604350800
349,Kudahuvadhoo,2.6708,72.8944,82.51,74,88,9.04,MV,1604350800
350,Ponta Delgada,37.7333,-25.6667,62.74,69,57,13.96,PT,1604350800
351,Tabuk,17.4189,121.4443,73.17,91,100,5.79,PH,1604350800
352,Fortuna,40.5982,-124.1573,70.29,49,10,6.17,US,1604350800
353,Port Hardy,50.6996,-127.4199,49.3,89,95,24.47,CA,1604350800
